path,natural_matches_of_53,uniform_matches_of_53
results/effective_binding/gpt2/gpt2/natural/gpt2-natural-accessibility.csv,53,24
results/effective_binding/gpt2/gpt2/uniform/gpt2-uniform-accessibility.csv,24,53
results/effective_binding/gpt2/gpt2-large/natural/gpt2-large-natural-accessibility.csv,24,53
results/effective_binding/gpt2/gpt2-large/uniform/gpt2-large-uniform-accessibility.csv,53,24
results/effective_binding/gpt2/gpt2-medium/natural/gpt2-medium-natural-accessibility.csv,53,24
results/effective_binding/gpt2/gpt2-medium/uniform/gpt2-medium-uniform-accessibility.csv,53,24
results/effective_binding/gpt2/gpt2-xl/natural/gpt2-xl-natural-accessibility.csv,53,24
results/effective_binding/gpt2/gpt2-xl/uniform/gpt2-xl-uniform-accessibility.csv,24,53
results/effective_binding/olmo/OLMo-2-0425-1B/natural/OLMo-2-0425-1B-natural-accessibility.csv,53,24
results/effective_binding/olmo/OLMo-2-0425-1B/uniform/OLMo-2-0425-1B-uniform-accessibility.csv,24,53
results/effective_binding/olmo/OLMo-2-1124-13B/natural/OLMo-2-1124-13B-natural-accessibility.csv,53,24
results/effective_binding/olmo/OLMo-2-1124-13B/uniform/OLMo-2-1124-13B-uniform-accessibility.csv,24,53
results/effective_binding/olmo/OLMo-2-1124-7B/natural/OLMo-2-1124-7B-natural-accessibility.csv,53,24
results/effective_binding/olmo/OLMo-2-1124-7B/uniform/OLMo-2-1124-7B-uniform-accessibility.csv,24,53
results/effective_binding/pythia/pythia-12b/natural/pythia-12b-natural-accessibility.csv,53,24
results/effective_binding/pythia/pythia-12b/uniform/pythia-12b-uniform-accessibility.csv,24,53
results/effective_binding/pythia/pythia-160m/natural/pythia-160m-natural-accessibility.csv,53,24
results/effective_binding/pythia/pythia-160m/uniform/pythia-160m-uniform-accessibility.csv,24,53
results/effective_binding/pythia/pythia-1b/natural/pythia-1b-natural-accessibility.csv,53,24
results/effective_binding/pythia/pythia-1b/uniform/pythia-1b-uniform-accessibility.csv,24,53
results/effective_binding/pythia/pythia-2.8b/natural/pythia-2.8b-natural-accessibility.csv,53,24
results/effective_binding/pythia/pythia-2.8b/uniform/pythia-2.8b-uniform-accessibility.csv,24,53
results/effective_binding/pythia/pythia-410m/natural/pythia-410m-natural-accessibility.csv,53,24
results/effective_binding/pythia/pythia-410m/uniform/pythia-410m-uniform-accessibility.csv,24,53
results/effective_binding/pythia/pythia-6.9b/natural/pythia-6.9b-natural-accessibility.csv,53,24
results/effective_binding/pythia/pythia-6.9b/uniform/pythia-6.9b-uniform-accessibility.csv,24,53
