family,model,layer,relative_layer_depth,n_heads,n_finite,n_negative,median_rho,q25_rho,q75_rho
gpt2,gpt2,8,0.75,12,12,7,-0.012959183673469387,-0.0973469387755102,0.16441326530612244
gpt2,gpt2,9,0.8333333333333334,12,12,5,0.1220408163265306,-0.0739030612244898,0.17869897959183673
gpt2,gpt2,10,0.9166666666666666,12,12,2,0.13755102040816325,0.09191326530612245,0.2627551020408163
gpt2,gpt2,11,1.0,12,12,2,0.18147959183673468,0.07316326530612245,0.25301020408163266
gpt2,gpt2-large,24,0.6944444444444444,20,20,10,0.003928571428571429,-0.12397959183673468,0.10170918367346939
gpt2,gpt2-large,25,0.7222222222222222,20,20,11,-0.00836734693877551,-0.0910204081632653,0.09512755102040817
gpt2,gpt2-large,26,0.75,20,20,15,-0.14224489795918366,-0.1733673469387755,-0.026785714285714288
gpt2,gpt2-large,27,0.7777777777777778,20,20,12,-0.0676530612244898,-0.16089285714285714,0.04086734693877551
gpt2,gpt2-large,28,0.8055555555555556,20,20,10,-0.02387755102040816,-0.14201530612244898,0.10188775510204082
gpt2,gpt2-large,29,0.8333333333333334,20,20,11,-0.038214285714285715,-0.09400510204081633,0.1270408163265306
gpt2,gpt2-large,30,0.8611111111111112,20,20,9,0.03989795918367347,-0.02864795918367347,0.12306122448979592
gpt2,gpt2-large,31,0.8888888888888888,20,20,13,-0.03627551020408163,-0.10806122448979591,0.08214285714285714
gpt2,gpt2-large,32,0.9166666666666666,20,20,10,-0.0014285714285714284,-0.09474489795918367,0.1279591836734694
gpt2,gpt2-large,33,0.9444444444444444,20,20,3,0.11295918367346938,0.05357142857142857,0.1775765306122449
gpt2,gpt2-large,34,0.9722222222222222,20,20,12,-0.03602040816326531,-0.11260204081632653,0.03627551020408164
gpt2,gpt2-large,35,1.0,20,20,16,-0.08795918367346939,-0.19068877551020408,-0.029387755102040815
gpt2,gpt2-medium,16,0.7083333333333334,16,16,9,-0.06846938775510204,-0.22739795918367348,0.10762755102040816
gpt2,gpt2-medium,17,0.75,16,16,10,-0.08219387755102041,-0.18502551020408164,0.028877551020408163
gpt2,gpt2-medium,18,0.7916666666666666,16,16,13,-0.0978061224489796,-0.22415816326530613,-0.03586734693877551
gpt2,gpt2-medium,19,0.8333333333333334,16,16,11,-0.0976530612244898,-0.15752551020408162,0.03278061224489796
gpt2,gpt2-medium,20,0.875,16,16,8,0.009591836734693878,-0.09010204081632653,0.05482142857142857
gpt2,gpt2-medium,21,0.9166666666666666,16,16,5,0.04872448979591837,-0.11903061224489796,0.08936224489795919
gpt2,gpt2-medium,22,0.9583333333333334,16,16,11,-0.043979591836734694,-0.10354591836734695,0.023469387755102038
gpt2,gpt2-medium,23,1.0,16,16,11,-0.08795918367346939,-0.15387755102040818,0.05170918367346939
gpt2,gpt2-xl,32,0.6875,25,25,10,0.02193877551020408,-0.09316326530612246,0.08979591836734693
gpt2,gpt2-xl,33,0.7083333333333334,25,25,15,-0.027857142857142858,-0.1433673469387755,0.0639795918367347
gpt2,gpt2-xl,34,0.7291666666666666,25,25,15,-0.042346938775510205,-0.12163265306122449,0.07030612244897959
gpt2,gpt2-xl,35,0.75,25,25,10,0.035408163265306124,-0.00826530612244898,0.16785714285714284
gpt2,gpt2-xl,36,0.7708333333333334,25,25,16,-0.04989795918367347,-0.1363265306122449,0.036734693877551024
gpt2,gpt2-xl,37,0.7916666666666666,25,25,18,-0.07387755102040816,-0.2036734693877551,0.011122448979591837
gpt2,gpt2-xl,38,0.8125,25,25,18,-0.10448979591836735,-0.20846938775510204,0.05530612244897959
gpt2,gpt2-xl,39,0.8333333333333334,25,25,16,-0.0413265306122449,-0.14785714285714285,0.06979591836734694
gpt2,gpt2-xl,40,0.8541666666666666,25,25,21,-0.10275510204081632,-0.18928571428571428,-0.03336734693877551
gpt2,gpt2-xl,41,0.875,25,25,16,-0.05673469387755102,-0.12683673469387755,0.013673469387755101
gpt2,gpt2-xl,42,0.8958333333333334,25,25,14,-0.022244897959183673,-0.11510204081632654,0.02193877551020408
gpt2,gpt2-xl,43,0.9166666666666666,25,25,20,-0.1246938775510204,-0.19755102040816327,-0.04346938775510204
gpt2,gpt2-xl,44,0.9375,25,25,14,-0.04479591836734694,-0.16306122448979593,0.06489795918367347
gpt2,gpt2-xl,45,0.9583333333333334,25,25,19,-0.06224489795918367,-0.18989795918367347,-0.007346938775510204
gpt2,gpt2-xl,46,0.9791666666666666,25,25,13,-0.01193877551020408,-0.17642857142857143,0.06969387755102041
gpt2,gpt2-xl,47,1.0,25,25,17,-0.08714285714285715,-0.20448979591836736,0.01010204081632653
olmo,OLMo-2-0425-1B,11,0.75,16,16,10,-0.20357142857142857,-0.24471938775510205,0.04066326530612245
olmo,OLMo-2-0425-1B,12,0.8125,16,16,9,-0.08811224489795919,-0.26658163265306123,0.061224489795918366
olmo,OLMo-2-0425-1B,13,0.875,16,16,10,-0.0710204081632653,-0.20244897959183675,0.09482142857142858
olmo,OLMo-2-0425-1B,14,0.9375,16,16,10,-0.057499999999999996,-0.20155612244897958,0.1292091836734694
olmo,OLMo-2-0425-1B,15,1.0,16,16,10,-0.10275510204081632,-0.36755102040816323,0.13752551020408163
olmo,OLMo-2-1124-13B,27,0.7,40,40,30,-0.11377551020408164,-0.2527551020408163,-0.004821428571428571
olmo,OLMo-2-1124-13B,28,0.725,40,40,29,-0.14270408163265305,-0.21211734693877551,0.017040816326530612
olmo,OLMo-2-1124-13B,29,0.75,40,40,22,-0.025357142857142856,-0.1699234693877551,0.09306122448979592
olmo,OLMo-2-1124-13B,30,0.775,40,40,32,-0.11030612244897958,-0.1831887755102041,-0.05364795918367347
olmo,OLMo-2-1124-13B,31,0.8,40,40,21,-0.037959183673469385,-0.13316326530612244,0.10525510204081633
olmo,OLMo-2-1124-13B,32,0.825,40,40,23,-0.04474489795918367,-0.20469387755102042,0.08693877551020408
olmo,OLMo-2-1124-13B,33,0.85,40,40,31,-0.17387755102040817,-0.24487244897959182,-0.031377551020408165
olmo,OLMo-2-1124-13B,34,0.875,40,40,23,-0.021581632653061223,-0.10801020408163264,0.14400510204081632
olmo,OLMo-2-1124-13B,35,0.9,40,40,27,-0.04862244897959184,-0.0902295918367347,0.08362244897959184
olmo,OLMo-2-1124-13B,36,0.925,40,40,17,0.044081632653061226,-0.10298469387755102,0.18040816326530612
olmo,OLMo-2-1124-13B,37,0.95,40,40,20,-0.0026020408163265306,-0.06982142857142856,0.09237244897959185
olmo,OLMo-2-1124-13B,38,0.975,40,40,18,0.03551020408163265,-0.12744897959183674,0.17895408163265306
olmo,OLMo-2-1124-13B,39,1.0,40,40,14,0.08464285714285714,-0.05183673469387755,0.17668367346938774
olmo,OLMo-2-1124-7B,22,0.71875,32,32,24,-0.17755102040816326,-0.26839285714285716,-0.0005867346938775511
olmo,OLMo-2-1124-7B,23,0.75,32,32,19,-0.07086734693877551,-0.19497448979591836,0.08755102040816326
olmo,OLMo-2-1124-7B,24,0.78125,32,32,18,-0.04377551020408163,-0.1515561224489796,0.09676020408163266
olmo,OLMo-2-1124-7B,25,0.8125,32,32,18,-0.03520408163265306,-0.19589285714285715,0.13954081632653062
olmo,OLMo-2-1124-7B,26,0.84375,32,32,19,-0.08770408163265306,-0.1946938775510204,0.13573979591836735
olmo,OLMo-2-1124-7B,27,0.875,32,32,17,-0.018826530612244898,-0.1864030612244898,0.11301020408163265
olmo,OLMo-2-1124-7B,28,0.90625,32,32,23,-0.13979591836734695,-0.233265306122449,0.023724489795918367
olmo,OLMo-2-1124-7B,29,0.9375,32,32,19,-0.03372448979591837,-0.1548469387755102,0.08451530612244898
olmo,OLMo-2-1124-7B,30,0.96875,32,32,17,-0.03066326530612245,-0.1942091836734694,0.11579081632653061
olmo,OLMo-2-1124-7B,31,1.0,32,32,18,-0.046122448979591835,-0.1388265306122449,0.11571428571428571
pythia,pythia-12b,24,0.6944444444444444,40,40,24,-0.034183673469387756,-0.10744897959183673,0.0797704081632653
pythia,pythia-12b,25,0.7222222222222222,40,40,28,-0.10530612244897959,-0.22775510204081634,0.01864795918367347
pythia,pythia-12b,26,0.75,40,40,27,-0.0639795918367347,-0.12910714285714286,0.06025510204081633
pythia,pythia-12b,27,0.7777777777777778,40,40,23,-0.09806122448979591,-0.21903061224489798,0.04987244897959184
pythia,pythia-12b,28,0.8055555555555556,40,40,29,-0.08214285714285714,-0.22033163265306122,0.02762755102040816
pythia,pythia-12b,29,0.8333333333333334,40,40,34,-0.11280612244897958,-0.24622448979591838,-0.022321428571428572
pythia,pythia-12b,30,0.8611111111111112,40,39,25,-0.04795918367346939,-0.1439795918367347,0.052142857142857144
pythia,pythia-12b,31,0.8888888888888888,40,40,27,-0.09581632653061224,-0.2179591836734694,0.059974489795918365
pythia,pythia-12b,32,0.9166666666666666,40,40,25,-0.06438775510204081,-0.2663520408163265,0.05701530612244898
pythia,pythia-12b,33,0.9444444444444444,40,40,21,-0.012346938775510205,-0.156734693877551,0.08091836734693877
pythia,pythia-12b,34,0.9722222222222222,40,28,18,-0.044081632653061226,-0.13622448979591836,0.060637755102040815
pythia,pythia-12b,35,1.0,40,40,26,-0.06775510204081633,-0.1281122448979592,0.07084183673469388
pythia,pythia-160m,8,0.75,12,12,8,-0.048520408163265305,-0.07790816326530613,0.003673469387755102
