family,model,actual_prompt_condition,measure,n_compounds,rho,ci_low,ci_high
gpt2,gpt2,natural,p95_relative,49,-0.2838775510204081,-0.5489715106713607,0.029137553483546016
gpt2,gpt2,uniform,p95_relative,49,-0.3142857142857142,-0.5538636995627492,-0.011391918887833075
gpt2,gpt2-large,natural,p95_relative,49,-0.3496938775510203,-0.596256094006136,-0.042836244955750315
gpt2,gpt2-large,uniform,p95_relative,49,-0.36204081632653057,-0.5864966042820527,-0.06973726143591483
gpt2,gpt2-medium,natural,p95_relative,49,-0.3420408163265306,-0.593510955241222,-0.048151758051873446
gpt2,gpt2-medium,uniform,p95_relative,49,-0.42969387755102034,-0.6480760540380832,-0.1527492416410036
gpt2,gpt2-xl,natural,p95_relative,49,-0.15244897959183673,-0.43610963799298025,0.13996978135972254
gpt2,gpt2-xl,uniform,p95_relative,49,-0.23979591836734693,-0.49831234802066754,0.048963555291616626
olmo,OLMo-2-0425-1B,natural,p95_relative,49,-0.165,-0.43266294208924244,0.1311616691594997
olmo,OLMo-2-0425-1B,uniform,p95_relative,49,-0.4424489795918367,-0.6445044091075959,-0.18677572978358492
olmo,OLMo-2-1124-13B,natural,p95_relative,49,-0.25448979591836735,-0.519202553494294,0.06318004659299205
olmo,OLMo-2-1124-13B,uniform,p95_relative,49,-0.2174489795918367,-0.5070288220417036,0.09376441642606081
olmo,OLMo-2-1124-7B,natural,p95_relative,49,-0.2757142857142857,-0.5435792445789234,0.02660822158082711
olmo,OLMo-2-1124-7B,uniform,p95_relative,49,-0.3474489795918367,-0.6148242268854307,-0.04758545886103077
pythia,pythia-12b,natural,p95_relative,49,-0.3689795918367346,-0.581595918239182,-0.11032696048422584
pythia,pythia-12b,uniform,p95_relative,49,-0.4521428571428571,-0.6355110954679061,-0.22654399709840747
pythia,pythia-160m,natural,p95_relative,49,-0.31755102040816324,-0.5405893933331346,-0.04662218702187176
pythia,pythia-160m,uniform,p95_relative,49,-0.26591836734693874,-0.522858359136583,0.026539324996092545
pythia,pythia-1b,natural,p95_relative,49,-0.45091836734693874,-0.632517044258827,-0.19771113268277762
pythia,pythia-1b,uniform,p95_relative,49,-0.310204081632653,-0.5448216740853046,-0.04473396930411677
pythia,pythia-2.8b,natural,p95_relative,49,-0.48510204081632646,-0.6849202855245288,-0.23203969245255504
pythia,pythia-2.8b,uniform,p95_relative,49,-0.36826530612244895,-0.5944354275990552,-0.09928029094263387
pythia,pythia-410m,natural,p95_relative,49,-0.420204081632653,-0.6338742936812561,-0.1336909939498863
pythia,pythia-410m,uniform,p95_relative,49,-0.4130612244897959,-0.6254756941870679,-0.13283627432279052
pythia,pythia-6.9b,natural,p95_relative,49,-0.4504081632653061,-0.6593565414627117,-0.185935924421352
pythia,pythia-6.9b,uniform,p95_relative,49,-0.3524489795918367,-0.5768566742741938,-0.08695229698192468
