concept,mean_accuracy,n,compound,domain,word1,word2,bigram_count,word1_count,word2_count,conditional_prob,log_freq
accessibility tree,1.0,1,accessibility_tree,accessibility,accessibility,tree,27026,17244920,230945885,0.001567,4.431781772429124
accessible authentication,0.5,1,accessible_authentication,accessibility,accessible,authentication,479,73358835,27464520,7e-06,2.680335513414563
accessible description,0.5,1,accessible_description,accessibility,accessible,description,13071,73358835,146821187,0.000178,4.116308814655416
accessible name,1.0,1,accessible_name,accessibility,accessible,name,45152,73358835,1018894452,0.000615,4.654676992074254
alt text,0.7777777777777778,9,alt_text,accessibility,alt,text,1510749,72461750,478220452,0.020849,6.179192315450942
audio description,0.0,1,audio_description,accessibility,audio,description,219940,103708810,146821187,0.002121,5.342304220718211
character key,0.0,1,character_key,accessibility,character,key,25654,560891478,529420200,4.6e-05,4.409155090402581
closed captions,0.9166666666666666,6,closed_captions,accessibility,closed,captions,242540,211447960,4871878,0.001147,5.384783373233992
cognitive disabilities,1.0,1,cognitive_disabilities,accessibility,cognitive,disabilities,216716,65548078,22211587,0.003306,5.335890976179969
color contrast,0.8333333333333334,6,color_contrast,accessibility,color,contrast,402263,382541175,152514954,0.001052,5.604510088164567
combo box,1.0,1,combo_box,accessibility,combo,box,367125,19375774,299405082,0.018948,5.564813959530857
consistent help,0.0,1,consistent_help,accessibility,consistent,help,11735,120959399,1661595640,9.7e-05,4.069483093934611
decorative image,0.5,1,decorative_image,accessibility,decorative,image,13806,10979614,425455995,0.001257,4.140067869052287
drag movement,0.5,1,drag_movement,accessibility,drag,movement,2541,172597032,305830269,1.5e-05,3.4050046650503694
error identification,0.0,1,error_identification,accessibility,error,identification,14184,236289570,50396594,6e-05,4.151798722592861
focus appearance,0.0,1,focus_appearance,accessibility,focus,appearance,759,431911058,131265120,2e-06,2.88024177589548
focus indicator,1.0,1,focus_indicator,accessibility,focus,indicator,27185,431911058,36953422,6.3e-05,4.434329337337729
focus management,0.5,1,focus_management,accessibility,focus,management,21831,431911058,280729378,5.1e-05,4.339073629641114
form field,1.0,1,form_field,accessibility,form,field,534535,876298065,466078029,0.00061,5.727976146980189
informative image,0.0,1,informative_image,accessibility,informative,image,6612,23347468,425455995,0.000283,3.82033284489941
input purpose,0.5,1,input_purpose,accessibility,input,purpose,1195,177151214,304873161,7e-06,3.0773679052841563
keyboard interaction,0.5,1,keyboard_interaction,accessibility,keyboard,interaction,20053,53762449,106162866,0.000373,4.302179353813202
keyboard navigation,1.0,1,keyboard_navigation,accessibility,keyboard,navigation,128716,53762449,63080643,0.002394,5.109632535092529
landmark region,0.5,1,landmark_region,accessibility,landmark,region,1258,13147582,245347495,9.6e-05,3.09968064110925
live region,0.5,1,live_region,accessibility,live,region,17991,707711497,245347495,2.5e-05,4.255055303557442
low vision,1.0,1,low_vision,accessibility,low,vision,591201,679403103,178054279,0.00087,5.7717351599843925
menu bar,1.0,1,menu_bar,accessibility,menu,bar,1718658,98283753,522038270,0.017487,6.235189463952976
pointer cancellation,0.0,1,pointer_cancellation,accessibility,pointer,cancellation,63,24766460,10496026,3e-06,1.7993405494535817
radio group,0.0,1,radio_group,accessibility,radio,group,47148,181573257,836004723,0.00026,4.673463274859431
reading order,0.0,1,reading_order,accessibility,reading,order,155818,445397832,965966024,0.00035,5.192617625667303
redundant entry,0.0,1,redundant_entry,accessibility,redundant,entry,2731,16448813,145695261,0.000166,3.4363217001397333
responsive design,1.0,1,responsive_design,accessibility,responsive,design,681068,19871422,518375969,0.034274,5.833190475422968
screen reader,0.25,2,screen_reader,accessibility,screen,reader,987882,339750667,123276070,0.002908,5.994705072310918
section heading,1.0,1,section_heading,accessibility,section,heading,109764,264343794,66208813,0.000415,5.040459925132668
semantic HTML,1.0,2,semantic_html,accessibility,semantic,HTML,70955,16638580,62217177,0.004264,4.850983004386853
semantic markup,1.0,1,semantic_markup,accessibility,semantic,markup,149063,16638580,9251624,0.008959,5.173369857470744
sensory characteristics,0.0,1,sensory_characteristics,accessibility,sensory,characteristics,65401,29449380,104455093,0.002221,4.815584388861907
sign language,1.0,1,sign_language,accessibility,sign,language,3428369,359048284,511886235,0.009548,6.535087559470326
skip link,1.0,1,skip_link,accessibility,skip,link,15148,45829437,290035214,0.000331,4.180355296448789
status message,1.0,1,status_message,accessibility,status,message,242018,226672666,328415153,0.001068,5.383847667674492
tab panel,1.0,1,tab_panel,accessibility,tab,panel,23854,78174769,91378692,0.000305,4.377561214917793
target size,0.5,1,target_size,accessibility,target,size,161739,377425037,474678581,0.000429,5.208814753626678
text alternative,0.5,1,text_alternative,accessibility,text,alternative,78151,478220452,178483119,0.000163,4.892934539510718
text formatting,1.0,1,text_formatting,accessibility,text,formatting,282877,478220452,15502037,0.000592,5.451597637527144
text spacing,1.0,1,text_spacing,accessibility,text,spacing,11516,478220452,12029257,2.4e-05,4.061301656206044
tool tip,1.0,1,tool_tip,accessibility,tool,tip,157890,239470885,94391547,0.000659,5.19835462473694
touch target,1.0,1,touch_target,accessibility,touch,target,19283,295192188,377425037,6.5e-05,4.28517460125202
tree grid,0.0,1,tree_grid,accessibility,tree,grid,6379,230945885,67133835,2.8e-05,3.8047526021504603
universal design,0.5,1,universal_design,accessibility,universal,design,248037,78744260,518375969,0.00315,5.394516469928078
