prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,"a way to interact with a keyboard. It's a way to interact with a keyboard without having to use a mouse.

The keyboard is a way to interact with a keyboard without having to use a mouse.

The keyboard is a way to interact with a keyboard without having to use a mouse.

The keyboard is a way to interact with a keyboard without having to use a mouse.

The keyboard is a way to interact with a keyboard without having to use a mouse.",100,gpt2
decl_section_heading_001,section heading,declarative,cloze,A section heading is,"a list of all the items in the list.

The list is sorted by the number of items in the list.

The list is sorted by the number of items in the list.

The list is sorted by the number of items in the list.

The list is sorted by the number of items in the list.

The list is sorted by the number of items in the list.

The list is sorted by the number of items in the list.",100,gpt2
decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,a text file that is used to create a text file. It is a text file that is used to create a text file. It is a text file that is used to create a text file. It is a text file that is used to create a text file. It is a text file that is used to create a text file. It is a text file that is used to create a text file. It is a text file that is used to create a text file. It is a text,100,gpt2
decl_audio_description_001,audio description,declarative,cloze,An audio description is,"available here.

The following is a transcript of the interview with the author.

Interviewer: What is your background?

Dr. John: I'm a professor of psychology at the University of California, Berkeley. I'm a professor of psychology at the University of California, Berkeley. I'm a professor of psychology at the University of California, Berkeley. I'm a professor of psychology at the University of California, Berkeley. I'm a professor of psychology at the University of California",100,gpt2
decl_sign_language_001,sign language,declarative,cloze,Sign language is,"a powerful tool for developers to create and share code. It's a powerful tool for developers to create and share code. It's a powerful tool for developers to create and share code.

Sign language is a powerful tool for developers to create and share code. It's a powerful tool for developers to create and share code.

Sign language is a powerful tool for developers to create and share code. It's a powerful tool for developers to create and share code.

Sign language is",100,gpt2
decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,"important for the development of the brain. The brain is a complex system that includes the brain, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the spinal cord, the",100,gpt2
decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,"to provide a means of determining the value of a given input.

The input purpose is to provide a means of determining the value of a given input.

The input purpose is to provide a means of determining the value of a given input.

The input purpose is to provide a means of determining the value of a given input.

The input purpose is to provide a means of determining the value of a given input.

The input purpose is to provide a means of",100,gpt2
decl_target_size_001,target size,declarative,cloze,A target size is,"a number that is equal to the number of targets in the target's current location. The target size is the number of targets in the target's current location.

A target size is a number that is equal to the number of targets in the target's current location. The target size is the number of targets in the target's current location.

A target size is a number that is equal to the number of targets in the target's current location. The target size is the number of",100,gpt2
decl_touch_target_001,touch target,declarative,cloze,A touch target is,"a small, flexible, and flexible device that can be used to target a specific target.

A touch target is a small, flexible, and flexible device that can be used to target a specific target. A touch target is a small, flexible, and flexible device that can be used to target a specific target. A touch target is a small, flexible, and flexible device that can be used to target a specific target. A touch target is a small, flexible, and flexible device that can",100,gpt2
decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,"a movement of people who are trying to get into a position where they can be seen as a part of the movement.

Drag is a movement of people who are trying to get into a position where they can be seen as a part of the movement.

Drag is a movement of people who are trying to get into a position where they can be seen as a part of the movement.

Drag is a movement of people who are trying to get into a position where they can be",100,gpt2
decl_focus_appearance_001,focus appearance,declarative,cloze,A focus appearance is,"a form of physical or mental activity that is performed by a person who is physically or mentally capable of performing it.

A focus appearance is a form of physical or mental activity that is performed by a person who is physically or mentally capable of performing it.

A focus appearance is a form of physical or mental activity that is performed by a person who is physically or mentally capable of performing it.

A focus appearance is a form of physical or mental activity that is performed by a person",100,gpt2
decl_consistent_help_001,consistent help,declarative,cloze,Consistent help is,"needed to ensure that the system is working properly.

The following steps are required to ensure that the system is working properly:

Install the latest version of the software.

Install the latest version of the software. Install the latest version of the software.

Install the latest version of the software.

Install the latest version of the software.

Install the latest version of the software.

Install the latest version of the software.

Install the latest version",100,gpt2
decl_redundant_entry_001,redundant entry,declarative,cloze,A redundant entry is,"a single entry that is not used in the same way as a redundant entry.

A redundant entry is a single entry that is not used in the same way as a redundant entry.

A redundant entry is a single entry that is not used in the same way as a redundant entry.

A redundant entry is a single entry that is not used in the same way as a redundant entry.

A redundant entry is a single entry that is not used in the same way as",100,gpt2
