prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,4.6817,2.2261,7.7341,2.2261,gpt2-xl
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,3.6972,2.3525,6.7631,0.1036,gpt2-xl
decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,5.2348,2.0912,7.7341,2.0912,gpt2-xl
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,3.4492,1.3124,8.4116,0.1853,gpt2-xl
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,4.6387,4.7696,7.0066,0.1394,gpt2-xl
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,4.449,1.6628,7.7341,1.6253,gpt2-xl
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,5,4.9472,2.2834,6.7631,2.2834,gpt2-xl
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,4.4624,3.3628,6.7631,2.3781,gpt2-xl
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,5,5.092,3.3409,6.7978,3.2046,gpt2-xl
decl_captions_001,captions,declarative,cloze,Captions are used for,6,4.5786,6.3015,6.7631,1.7892,gpt2-xl
eval_alt_text_001,alt text,evaluative,code_review,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,22,3.0474,4.247,8.4116,0.0112,gpt2-xl
eval_div_onclick_001,semantic HTML,evaluative,code_review,A <div> with onclick is not accessible because,12,4.582,2.6041,7.7341,1.6272,gpt2-xl
eval_empty_link_001,empty link,evaluative,code_review,The accessibility problem with <a href='#'></a> is,15,3.6108,4.4936,8.4116,0.0251,gpt2-xl
eval_unlabeled_input_001,form label,evaluative,code_review,<input type='text'> needs a,9,3.1661,5.9391,6.7631,0.1428,gpt2-xl
eval_click_here_001,link text,evaluative,code_review,A button that only says 'Click here' is bad because,13,4.3795,2.5023,7.7341,1.5949,gpt2-xl
comp_alt_text_few_shot_001,alt text,completion,few_shot,"<img src=""icons/home.png"" alt=""Home""><img src=""icons/mail.png"" alt=""Inbox""><img src=""photo.jpg""",36,1.4137,0.0202,7.1811,0.0065,gpt2-xl
comp_alt_text_bare_001,alt text,completion,bare,"<img src=""photo.jpg""",9,2.2735,1.4336,6.7631,0.4373,gpt2-xl
comp_captions_few_shot_001,captions,completion,few_shot,"<video src=""intro.mp4""><track kind=""captions"" src=""intro.vtt""></video><video src=""demo.mp4""><track kind=""captions"" src=""demo.vtt""></video><video src=""lecture.mp4"">",61,1.2442,2.5382,6.7631,0.0003,gpt2-xl
comp_captions_bare_001,captions,completion,bare,"<video src=""lecture.mp4"">",11,2.4626,2.218,6.7631,0.4801,gpt2-xl
comp_page_title_few_shot_001,page title,completion,few_shot,<html><head><title>About Us</title></head><html><head><title>Contact</title></head><html><head>,31,1.5858,4.2594,7.3231,0.0039,gpt2-xl
comp_page_title_bare_001,page title,completion,bare,"<html><head><meta charset=""utf-8"">",14,1.4635,0.7286,6.7631,0.0032,gpt2-xl
comp_script_bare_001,script,completion,bare,<script,3,4.4525,1.7484,6.7631,1.7484,gpt2-xl
comp_script_few_shot_001,script,completion,few_shot,"<script src=""utils.js""></script><script src=""main.js""></script><script src=""",23,1.6331,6.5676,6.7631,0.023,gpt2-xl
hypo_alt_text_direct_001,alt text,hypothesis,direct_question,Look at this HTML: <img src='portrait.jpg'>. What specific attribute is missing to make it accessible?,26,3.1071,3.9153,6.7631,0.4927,gpt2-xl
hypo_alt_text_correction_001,alt text,hypothesis,error_correction,Correct the following inaccessible code: <img src='logo.png'>,16,3.0665,4.1628,6.7631,0.5405,gpt2-xl
