token_id,token,count
533, but,423408695
639, ag,40924589
716, te,30030185
745, off,103551790
815, ph,41320950
1072, same,119307812
1462, stand,17243503
1663, really,64723697
1900, always,53549592
1964, prom,20658781
2053, These,48097911
2093, cho,6450481
2096, understand,30822538
2151, children,45196796
2159, short,40368788
2256, subject,30931068
2459, ann,5100863
2594, See,34650746
2668, taken,34211599
2783, considered,32218304
2789, makes,32082092
2864, decre,20886287
2916, contr,2208519
2938, flu,14545786
3060, Europe,14838471
3076, bad,25526020
3331, friend,18811245
3573, heav,2297338
3747, Aug,2984602
3777, reduced,21198998
3812, draw,14751143
3910, differences,20294745
3994, ens,7150313
4056, streng,75815
4192, capac,5197100
4273, bal,9526321
4283, leading,17948353
4302, technology,17894970
4336, completely,17724892
4443, emb,17009998
4472, Stud,2232502
4510, prefer,13979089
4665, interpret,3927574
4794, According,15421417
4825, Em,10873672
4851, cit,5858237
4927, si,15485021
4965, Ang,7165807
5145, machine,14319720
5206, choose,13681255
5306, cert,8540918
5376, Inst,6794856
5400, album,10447611
5406, picture,12804161
5480, prepared,12687273
5502, transition,12130290
5511, communication,12474688
5663, belong,4282648
5780, remaining,11668857
5841, calls,11589239
5908, officer,11467251
5913, whatever,11528309
5962, biggest,11203986
6032, smooth,10984060
6129, Di,9140825
6374, elim,1918291
6497, fell,10614465
6641, veloc,1655298
7260, charges,8527673
7301, bool,8424597
7374, alle,8506689
7416, joined,8374163
7460, qui,9562450
7681, technical,8070739
7727, Richard,8149306
7747, adults,7881006
7771, fle,5607371
7960, merely,7644468
8156, realized,7360486
8162, contribute,7404312
8171, replace,7343135
8295, emission,7225570
8323, windows,7640135
8365, Arab,7862468
8553, accounts,6903263
8609, thermal,6857958
8667, monitoring,6733063
8742, Los,6976034
8871, picking,6437566
8956, accordance,6410522
9171, scal,2908994
9189, facilities,6301248
9378, battery,6118978
9469, patent,5765255
9763, controller,5678643
9800, compat,538301
9969, reactions,5490322
9979, proud,5397589
10040, iter,3210717
10129, matches,5254013
10260, greatly,5270885
10397, anxiety,5101392
10399, MD,4562875
10491, sampling,5190009
10500, mutant,5090844
10527, theoretical,5045499
10589, Team,5056083
10591, refe,16571
10770, refers,4831423
10806, constraints,4797995
10964, excit,1092663
11090, Il,5155168
11136, behalf,4670648
11552, tunn,1867060
11632, func,3709054
11639, disturb,3389550
11640, variants,4114767
11680, Consider,4522093
11726, Rest,3234346
11757, combat,4156729
11795, timing,4362565
11809, designs,4218022
12152, Pot,4264863
12420, alignment,3928976
12440, professionals,3985485
12623, locked,3937712
12636, Tal,3873386
12956, adapted,3753031
13130, labeled,3625265
13291, ions,755
13525, Full,3518008
13579, Marg,830675
14026, Has,3141462
14100, NF,3177950
14142, actors,3234017
14199, membership,3062789
14208, rs,2887284
14248, websites,3255128
14347, coli,3226209
14425, Ubuntu,3980062
14459, fiction,3167798
14481, inhibited,3106742
14502, condem,3124988
14723, Invention,3069258
14787, overlap,3017178
14857, TNF,3011484
14861, Tony,3015458
14954, firing,3020851
15159, disappeared,2959819
15174, aging,2922442
15276, intrinsic,2895218
15322, Ess,2799708
15479, taxp,1521487
15572, representatives,2776677
15963, Nation,2295452
15966, engaging,2673113
16121, hunting,2574238
16188, resem,2915
16211, Cass,2417273
16215, Mathemat,2966402
16342, Commonwealth,2570808
16384, wrap,2545638
16422, contention,2557576
16579, hast,2087363
16598, Kennedy,2695809
16645, balanced,2551548
16789, restored,2497572
16821, dramatically,2502186
16842, Sweden,2536626
