prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,5.2419,2.1065,8.189,2.1065,OLMo-2-0425-1B
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,3.5697,1.3924,7.176,0.1445,OLMo-2-0425-1B
decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,5.5844,2.1489,8.189,2.1489,OLMo-2-0425-1B
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,3.8682,0.7946,8.5978,0.2614,OLMo-2-0425-1B
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,4.9705,5.8377,7.176,0.269,OLMo-2-0425-1B
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,4.714,2.2076,8.189,1.7793,OLMo-2-0425-1B
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,4,5.0551,2.6954,7.176,2.6954,OLMo-2-0425-1B
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,4.7831,4.0266,7.176,2.757,OLMo-2-0425-1B
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,4,6.1692,5.139,7.176,5.139,OLMo-2-0425-1B
decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,6,5.0803,5.5093,7.176,2.0177,OLMo-2-0425-1B
decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,5,5.8727,3.1094,8.189,3.1094,OLMo-2-0425-1B
decl_section_heading_001,section heading,declarative,cloze,A section heading is,5,4.8444,2.9557,8.189,1.4936,OLMo-2-0425-1B
decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,5,5.2543,2.4894,8.189,2.4894,OLMo-2-0425-1B
decl_audio_description_001,audio description,declarative,cloze,An audio description is,5,5.0657,1.9035,7.2582,1.9035,OLMo-2-0425-1B
decl_sign_language_001,sign language,declarative,cloze,Sign language is,4,4.1697,4.4472,7.176,1.1028,OLMo-2-0425-1B
decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,6,5.0523,5.803,7.176,1.8989,OLMo-2-0425-1B
decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,5,5.4829,2.8811,7.2582,2.8811,OLMo-2-0425-1B
decl_target_size_001,target size,declarative,cloze,A target size is,5,5.6228,2.5469,8.189,2.5469,OLMo-2-0425-1B
decl_touch_target_001,touch target,declarative,cloze,A touch target is,5,5.1911,2.5908,8.189,2.5908,OLMo-2-0425-1B
decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,5,5.5915,3.153,8.189,3.153,OLMo-2-0425-1B
decl_focus_appearance_001,focus appearance,declarative,cloze,A focus appearance is,5,5.0981,3.1706,8.189,1.7793,OLMo-2-0425-1B
decl_consistent_help_001,consistent help,declarative,cloze,Consistent help is,5,5.5465,4.7176,8.2796,2.6856,OLMo-2-0425-1B
decl_redundant_entry_001,redundant entry,declarative,cloze,A redundant entry is,5,6.1305,2.8984,8.189,2.8984,OLMo-2-0425-1B
decl_accessible_authentication_001,accessible authentication,declarative,cloze,Accessible authentication is,4,5.6749,4.2273,7.176,4.2273,OLMo-2-0425-1B
decl_text_spacing_001,text spacing,declarative,cloze,Text spacing is,4,5.3555,4.9841,7.176,4.3142,OLMo-2-0425-1B
decl_status_message_001,status message,declarative,cloze,A status message is,5,5.4932,2.8563,8.189,2.8563,OLMo-2-0425-1B
decl_error_identification_001,error identification,declarative,cloze,Error identification is,4,4.9812,4.6909,7.176,3.1615,OLMo-2-0425-1B
decl_pointer_cancellation_001,pointer cancellation,declarative,cloze,Pointer cancellation is,4,5.6117,3.6143,7.176,3.6143,OLMo-2-0425-1B
decl_character_key_001,character key,declarative,cloze,A character key is,5,5.5786,2.5736,8.189,2.5736,OLMo-2-0425-1B
decl_accessibility_tree_001,accessibility tree,declarative,cloze,An accessibility tree is,5,5.1838,1.8493,7.2582,1.8493,OLMo-2-0425-1B
decl_accessible_name_001,accessible name,declarative,cloze,An accessible name is,5,5.5587,3.0657,7.2582,3.0657,OLMo-2-0425-1B
decl_accessible_description_001,accessible description,declarative,cloze,An accessible description is,5,5.0327,3.2005,7.2582,1.2977,OLMo-2-0425-1B
decl_live_region_001,live region,declarative,cloze,A live region is,5,5.9892,2.6267,8.189,2.6267,OLMo-2-0425-1B
decl_tab_panel_001,tab panel,declarative,cloze,A tab panel is,5,5.2066,2.1859,8.189,2.1859,OLMo-2-0425-1B
