domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
control,blue_sky,blue sky,declarative,cloze,A blue sky is,"a beautiful thing. It's a sign of a healthy, happy, and healthy-looking planet. But it's also a sign of a planet that's been ravaged by climate change.

The blue sky is a sign of a healthy, happy, and healthy-looking planet. But it's also a sign of a planet that's been ravaged by climate change.

The blue sky is a sign of a healthy, happy, and healthy-looking planet. But it's also a sign",100,gpt2-medium
control,cold_water,cold water,declarative,cloze,Cold water is typically characterized by,"a low temperature and a low pressure. The cold water is usually at a depth of about 1.5 meters (5 feet) and is usually at a pressure of about 1.5 bar (10 psi). The cold water is usually at a depth of about 1.5 meters (5 feet) and is usually at a pressure of about 1.5 bar (10 psi).

The cold water is usually at a depth of about 1.5 meters (5 feet) and is usually at",100,gpt2-medium
control,ice_cream,ice cream,declarative,cloze,Ice cream is a frozen dessert made from,"milk and sugar. It is usually made with cream cheese, but can also be made with any type of cream cheese. Ice cream is usually served with a scoop of ice cream, but it can also be made with a scoop of ice cream, ice cream, or a combination of both.

Ice cream is a popular dessert in many countries around the world. It is also a popular snack in many countries around the world. Ice cream is also a popular dessert in many countries around the world.",100,gpt2-medium
control,life_jacket,life jacket,declarative,cloze,A life jacket is designed to,"protect you from the elements. It's a lightweight, waterproof, and breathable layer that can be worn over your clothes or over your head. It's also a great way to keep you warm in the winter.

The Life Jacket is made of a lightweight, waterproof, and breathable fabric that's designed to keep you warm in the winter. It's also a great way to keep you warm in the winter.

The Life Jacket is made of a lightweight, waterproof, and breath",100,gpt2-medium
control,tea_cup,tea cup,declarative,cloze,A tea cup is a vessel used for,"drinking tea. It is usually made of a tea leaf, a leaf of a plant, or a leaf of a tree. Tea cups are usually made of a thin, round, or round-shaped piece of wood. Tea cups are usually made of a thin, round, or round-shaped piece of wood.

Tea cups are usually made of a thin, round, or round-shaped piece of wood. Tea cups are usually made of a thin, round, or round-shaped piece",100,gpt2-medium
control,living_room,living room,declarative,cloze,A living room is,a place where you can relax and enjoy the company of your family and friends. It's a place where you can relax and enjoy the company of your family and friends. It's a place where you can relax and enjoy the company of your family and friends. It's a place where you can relax and enjoy the company of your family and friends. It's a place where you can relax and enjoy the company of your family and friends. It's a place where you can relax and enjoy the company,100,gpt2-medium
control,roller_coaster,roller coaster,declarative,cloze,A roller coaster is an amusement ride that,"is designed to be fun and exciting for all ages. Roller coasters are often built in a variety of styles and sizes, and are often designed to be fun and exciting for all ages. Roller coasters are often built in a variety of styles and sizes, and are often designed to be fun and exciting for all ages.

The term roller coaster is often used to describe a roller coaster that is designed to be fun and exciting for all ages. Roller coasters are often built in a variety",100,gpt2-medium
control,school_bus,school bus,declarative,cloze,A school bus is used to,"transport students from the school in the village of Konya, in the central African Republic, on April 7, 2015. (AFP Photo/Mariana Bazo)

Konya (AFP) - A school bus carrying students from a school in the central African Republic was attacked by gunmen on Tuesday, killing at least nine people, officials said.

The attack took place in the village of Konya, in the central African Republic's capital, Bangui, and",100,gpt2-medium
control,grilled_cheese,grilled cheese,declarative,cloze,A grilled cheese sandwich consists of,"a slice of bread, cheese, and a slice of tomato. The sandwich is served with a side of lettuce, tomato, and a slice of tomato.

The grilled cheese sandwich is a popular snack in the United States. It is also a popular snack in many other countries.

The grilled cheese sandwich is often served with a side of lettuce, tomato, and a slice of tomato.

The grilled cheese sandwich is often served with a side of lettuce, tomato, and a slice",100,gpt2-medium
control,peanut_butter,peanut butter,declarative,cloze,Peanut butter is made from,"the seeds of the peanut plant, which is native to Asia. It is a rich, creamy, and nutty treat that is perfect for breakfast, lunch, and dinner.

Peanut butter is also known as peanut butter, peanut butter jelly, peanut butter, peanut butter crackers, peanut butter crackers, peanut butter crackers, peanut butter crackers, peanut butter crackers, peanut butter crackers, peanut butter crackers, peanut butter crackers, peanut butter crackers, peanut",100,gpt2-medium
control,hot_chocolate,hot chocolate,declarative,cloze,Hot chocolate is a warm beverage typically made from,"milk or cream. It is often served with ice cream or ice cream and sugar. It is also sometimes served with ice cream and ice cream and sugar.

The name ""hot chocolate"" comes from the fact that it is made from milk or cream. It is also sometimes served with ice cream and ice cream and sugar.

The name ""hot chocolate"" comes from the fact that it is made from milk or cream. It is also sometimes served with ice cream and ice cream and sugar",100,gpt2-medium
control,apple_pie,apple pie,declarative,cloze,Apple pie is a dessert featuring,"a thick, creamy filling made from a combination of apples, cream, sugar, and butter. It's a popular dessert in many countries around the world, and it's also a popular dessert in the United States.

The recipe for Apple Pie is a bit different in the United States than in other countries. In the United States, Apple Pie is made with a mixture of apples, cream, sugar, and butter.

In the United States, Apple Pie is usually made with a mixture",100,gpt2-medium
