domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
legal,due_process,due process,declarative,cloze,Due process is,"a fundamental principle of our legal system. It is the bedrock of our democracy. It is the foundation of our Constitution. It is the foundation of our Republic.

The Founders of our nation understood that the right to due process is the right to be heard. It is the right to be heard by a neutral decision maker. It is the right to be heard by a decision maker who is not a member of the government. It is the right to be heard by a decision maker who",100,pythia-12b
legal,equal_protection,equal protection,declarative,cloze,Equal protection refers to,"the principle that the government must treat people equally under the law. The Equal Protection Clause of the Fourteenth Amendment to the United States Constitution prohibits the government from treating people differently based on race, religion, national origin, or other arbitrary classifications.

The Equal Protection Clause is one of the most important protections in the United States Constitution. It is the basis for many of the rights guaranteed to all Americans, including the right to vote, the right to a fair trial, and the right to due process.",100,pythia-12b
legal,commerce_clause,commerce clause,declarative,cloze,The commerce clause is,"the most important clause in the Constitution. It gives Congress the power to regulate commerce among the states. The clause is the basis for the federal government's power to regulate everything from the price of milk to the price of a car.

The commerce clause is the most important clause in the Constitution. It gives Congress the power to regulate commerce among the states. The clause is the basis for the federal government's power to regulate everything from the price of milk to the price of a car.",100,pythia-12b
legal,fifth_amendment,fifth amendment,declarative,cloze,The fifth amendment provides,"that no person shall be deprived of life, liberty, or property without due process of law. The sixth amendment provides that in all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial, by an impartial jury of the state and district wherein the crime shall have been committed, which district shall have been previously ascertained by law, and to be informed of the nature and cause of the accusation; to be confronted with the witnesses against him; to have compulsory process for obtaining witnesses in",100,pythia-12b
legal,free_speech,free speech,declarative,cloze,Free speech is a right that,"is under attack in the United States.

The right to free speech is under attack in the United States.

The right to free speech is under attack in the United States.

The right to free speech is under attack in the United States.

The right to free speech is under attack in the United States.

The right to free speech is under attack in the United States.

The right to free speech is under attack in the United States.",100,pythia-12b
legal,strict_liability,strict liability,declarative,cloze,Strict liability is a legal doctrine holding,"a person responsible for the consequences of his or her actions, even if the person did not intend to cause those consequences. The doctrine is most often applied in tort law, but it is also used in criminal law.

The doctrine of strict liability is based on the idea that the law should hold people responsible for the consequences of their actions, even if they did not intend to cause those consequences. The doctrine is most often applied in tort law, but it is also used in criminal law.",100,pythia-12b
legal,punitive_damages,punitive damages,declarative,cloze,Punitive damages are awarded to,"punish the defendant and to deter others from committing similar acts. Punitive damages are not awarded to compensate the plaintiff for his or her injuries.

Punitive damages are awarded in cases where the defendant’s conduct was malicious, willful, wanton, or reckless.

Punitive damages are not awarded in cases where the defendant’s conduct was negligent.

Punitive damages are not awarded in cases where the defendant’s conduct was the result of an accident.",100,pythia-12b
legal,sovereign_immunity,sovereign immunity,declarative,cloze,Sovereign immunity is,a doctrine that protects the state from being sued in court. It is a legal principle that protects the state from being sued in court. It is a legal principle that protects the state from being sued in court. It is a legal principle that protects the state from being sued in court. It is a legal principle that protects the state from being sued in court. It is a legal principle that protects the state from being sued in court. It is a legal principle that protects the state from being sued in,100,pythia-12b
legal,grand_indictment,grand indictment,declarative,cloze,A grand indictment is,"expected to be handed down in the coming days against a former top aide to President Donald Trump, who is accused of lying to the FBI about his contacts with a Russian national, according to a report.

The indictment is expected to be handed down on Friday, the New York Times reported, citing two people familiar with the matter.

The indictment is expected to be sealed until Friday, when it will be unsealed and made public.

The indictment is expected to be sealed until Friday",100,pythia-12b
legal,guilty_plea,guilty plea,declarative,cloze,A guilty plea is when,a defendant pleads guilty to a crime. A guilty plea is a legal admission of guilt. A guilty plea is a confession of guilt. A guilty plea is a confession of guilt. A guilty plea is a confession of guilt. A guilty plea is a confession of guilt. A guilty plea is a confession of guilt. A guilty plea is a confession of guilt. A guilty plea is a confession of guilt. A guilty plea is a confession of guilt. A guilty plea is a confession of guilt.,100,pythia-12b
legal,excessive_bail,excessive bail,declarative,cloze,Excessive bail is prohibited by,"the Eighth Amendment to the Constitution of the United States, which states that ""Excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted.""

The Eighth Amendment was adopted in 1791, and it has been interpreted by the Supreme Court to prohibit excessive bail and excessive fines. The Supreme Court has not yet ruled on whether the Eighth Amendment prohibits excessive bail in civil forfeiture cases.

The Supreme Court has held that the Eighth Amendment prohibits excessive bail in criminal",100,pythia-12b
legal,felony_conviction,felony conviction,declarative,cloze,A felony conviction is,"a serious matter. It can affect your ability to get a job, rent an apartment, or even get a driver’s license. It can also affect your ability to get a passport.

If you have a felony conviction, you may be able to get a pardon. A pardon is a formal act of forgiveness by the governor of the state. It is a way to erase the conviction from your record.

If you have a felony conviction, you may be able to get a pardon",100,pythia-12b
legal,conditional_parole,conditional parole,declarative,cloze,Conditional parole requires,"a person to be on parole for a specified period of time, and to meet certain conditions. If the person violates the conditions of parole, the parole may be revoked.

Conditional parole is a form of parole that allows a person to be released from prison, but requires that the person be on parole for a specified period of time, and to meet certain conditions. If the person violates the conditions of parole, the parole may be revoked.

Conditional parole is a form of parole",100,pythia-12b
legal,joint_custody,joint custody,declarative,cloze,Joint custody means,"that both parents have equal rights to the child. This means that both parents have the right to make decisions about the child’s upbringing, education, and health.

Joint custody is the most common form of custody arrangement. It is also the most flexible.

Joint custody is the most common form of custody arrangement. It is also the most flexible.

Joint custody is the most common form of custody arrangement. It is also the most flexible.

Joint custody is the",100,pythia-12b
legal,material_breach,material breach,declarative,cloze,A material breach is,"a breach of a material term of a contract. A material breach is a breach of a material term of a contract that is so serious that it would justify the other party to the contract in refusing to perform his obligations under the contract.

A material breach is a breach of a material term of a contract that is so serious that it would justify the other party to the contract in refusing to perform his obligations under the contract.

A material breach is a breach of a material term of a",100,pythia-12b
legal,adequate_consideration,adequate consideration,declarative,cloze,Adequate consideration in a contract means,"that the parties have given due consideration to the matter in dispute. The parties must have had a reasonable opportunity to consider the matter in dispute and to make a fair and reasonable agreement.

The parties must have had a reasonable opportunity to consider the matter in dispute and to make a fair and reasonable agreement.

The parties must have had a reasonable opportunity to consider the matter in dispute and to make a fair and reasonable agreement.

The parties must have had a reasonable opportunity to consider the matter",100,pythia-12b
legal,arbitration_clause,arbitration clause,declarative,cloze,An arbitration clause is,"a clause in a contract that allows the parties to resolve a dispute through arbitration. Arbitration is a process in which a neutral third party (the arbitrator) hears the case and makes a decision. The arbitrator is not bound by the rules of evidence or procedure that govern a court trial.

Arbitration clauses are common in contracts for the sale of goods, such as a car or a house. The buyer and seller agree to submit any disputes to arbitration. The buyer and seller may agree to",100,pythia-12b
legal,specific_performance,specific performance,declarative,cloze,Specific performance is a remedy that,"is available to a party who has performed his or her part of a contract but who is unable to perform the remaining part. The remedy is available only if the party seeking specific performance has performed his or her part of the contract.

The remedy of specific performance is available only if the party seeking specific performance has performed his or her part of the contract. The party seeking specific performance must show that he or she has performed his or her part of the contract.

The party seeking specific performance",100,pythia-12b
legal,preliminary_injunction,preliminary injunction,declarative,cloze,A preliminary injunction is,"a court order that temporarily stops an action or prevents a party from taking an action. It is a court order that is issued before a trial or hearing. A preliminary injunction is issued to preserve the status quo until the court can determine whether the party seeking the injunction has a valid claim.

A preliminary injunction is a court order that temporarily stops an action or prevents a party from taking an action. It is a court order that is issued before a trial or hearing. A preliminary injunction is issued to",100,pythia-12b
legal,oral_deposition,oral deposition,declarative,cloze,An oral deposition is,"a deposition taken outside of the presence of a judge or jury. The purpose of an oral deposition is to allow the witness to be questioned by the attorney for the party taking the deposition. The witness is not required to answer any questions that are not relevant to the case. The witness is also not required to answer any questions that are not asked in a direct and straightforward manner.

The witness is not required to answer any questions that are not asked in a direct and straightforward manner. The witness is",100,pythia-12b
legal,personal_jurisdiction,personal jurisdiction,declarative,cloze,Personal jurisdiction refers to,"the power of a court to exercise authority over a person or entity. The concept of personal jurisdiction is important in the law of contracts, because it determines whether a court can exercise jurisdiction over a party to a contract.

The concept of personal jurisdiction is important in the law of contracts, because it determines whether a court can exercise jurisdiction over a party to a contract.

The concept of personal jurisdiction is important in the law of contracts, because it determines whether a court can exercise jurisdiction over a",100,pythia-12b
legal,electronic_discovery,electronic discovery,declarative,cloze,Electronic discovery is,"the process of identifying, collecting, organizing, and analyzing electronic data. The process has been accelerated by the increased use of electronic data storage and the increased use of the Internet. The process has been further accelerated by the increased use of cloud computing.
Electronic discovery includes the use of electronic data collection devices, such as digital data collection devices, to collect electronic data. The electronic data collection devices may be used to capture data from various sources, such as, for example, the Internet, email, databases",100,pythia-12b
legal,summary_motion,summary motion,declarative,cloze,A summary motion is,a motion that is not debatable. It is a motion that is not subject to debate. It is a motion that is not subject to amendment. It is a motion that is not subject to a vote. It is a motion that is not subject to a vote of the whole House. It is a motion that is not subject to a vote of the whole House. It is a motion that is not subject to a vote of the whole House. It is a motion that is not subject to a,100,pythia-12b
legal,proper_venue,proper venue,declarative,cloze,Proper venue is determined by,"the location of the event, the number of people attending, and the type of event.

The location of the event is determined by the type of event.

The number of people attending is determined by the type of event.

The type of event is determined by the type of event.

The type of event is determined by the type of event.

The type of event is determined by the type of event.

The type of event is determined by the",100,pythia-12b
legal,patent_infringement,patent infringement,declarative,cloze,Patent infringement occurs when,"a person or entity uses a patented invention without permission from the patent holder. The patent holder can sue the infringer for damages and/or an injunction to stop the infringement.

The patent system is designed to encourage innovation by granting inventors a limited monopoly on their inventions for a limited time. The patent system is also designed to encourage competition by allowing others to use the patented invention without permission.

The patent system is a form of intellectual property law. It is a system of laws and regulations",100,pythia-12b
legal,articles_incorporation,articles incorporation,declarative,cloze,Articles of incorporation are,"the legal documents that a company must file with the state to become a legal entity. The articles of incorporation are the first step in the formation of a corporation. The articles of incorporation are filed with the state and are the basis for the formation of the corporation.

The articles of incorporation are the first step in the formation of a corporation. The articles of incorporation are filed with the state and are the basis for the formation of the corporation.

The articles of incorporation are the first step in",100,pythia-12b
