domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
finance,cash_flow,cash flow,declarative,cloze,Cash flow is,"the lifeblood of any business. It is the fuel that keeps the engine running. Without cash flow, a business will not be able to pay its bills, buy inventory, or pay its employees.

Cash flow is the lifeblood of any business. It is the fuel that keeps the engine running. Without cash flow, a business will not be able to pay its bills, buy inventory, or pay its employees.

Cash flow is the lifeblood of any business. It",100,pythia-12b
finance,balance_sheet,balance sheet,declarative,cloze,A balance sheet is,"a financial statement that shows the financial position of a business at a point in time. It is a snapshot of the financial health of a business. It is a snapshot of the financial health of a business.

A balance sheet is a financial statement that shows the financial position of a business at a point in time. It is a snapshot of the financial health of a business. It is a snapshot of the financial health of a business.

A balance sheet is a financial statement that shows the",100,pythia-12b
finance,journal_entry,journal entry,declarative,cloze,A journal entry is,"a record of a person's thoughts, feelings, and experiences. Journaling is a great way to express yourself and to keep track of your thoughts and feelings. It is also a great way to learn about yourself.

Journaling is a great way to express yourself and to keep track of your thoughts and feelings. It is also a great way to learn about yourself.

Journaling is a great way to express yourself and to keep track of your thoughts and feelings. It is also a",100,pythia-12b
finance,accelerated_depreciation,accelerated depreciation,declarative,cloze,Accelerated depreciation is,"a tax break that allows businesses to deduct the cost of equipment and other assets over a shorter period of time. The tax break is available to businesses that use the assets in their business.

The tax break is available to businesses that use the assets in their business.

The tax break is available to businesses that use the assets in their business.

The tax break is available to businesses that use the assets in their business.

The tax break is available to businesses that use the",100,pythia-12b
finance,impairment_goodwill,impairment goodwill,declarative,cloze,Goodwill impairment occurs when,"a company’s assets are less valuable than its liabilities. The company’s assets are valued at their historical cost, while the liabilities are valued at their current market value.

The impairment loss is calculated by comparing the carrying value of the assets to the fair value of the liabilities. The fair value of the liabilities is determined by using the market value of the liabilities.

The impairment loss is recognized in the income statement as a reduction in the carrying value of the assets.

The",100,pythia-12b
finance,yield_maturity,yield maturity,declarative,cloze,Yield to maturity is,"the most widely used measure of the return on a bond investment. It is the sum of the interest payments received by the investor over the life of the bond. The yield to maturity is the interest rate that the investor will receive if he or she holds the bond to the maturity date.

The yield to maturity is the interest rate that the investor will receive if he or she holds the bond to the maturity date.

The yield to maturity is the interest rate that the investor will receive if",100,pythia-12b
finance,bond_coupon,bond coupon,declarative,cloze,A bond coupon is,"a coupon that is issued by a bond issuer to a bondholder in exchange for the bondholder's agreement to purchase a bond at a specified price. The bond coupon is usually issued in the form of a paper document, but may also be issued electronically. The bond coupon is usually printed on a bond certificate, which is a paper document that is issued by the bond issuer to the bondholder. The bond certificate is usually printed on a bond certificate stock, which is a paper document that is",100,pythia-12b
finance,credit_spread,credit spread,declarative,cloze,A credit spread is,"a financial instrument that allows investors to profit from a change in the price of one or more underlying assets. The underlying assets may be stocks, bonds, commodities, currencies, or other financial instruments. A credit spread may be created by buying one or more underlying assets and selling a second underlying asset. The second underlying asset may be referred to as a “credit” or “spread” because it is typically a credit or a spread over the price of the first underlying asset.
A credit spread may be",100,pythia-12b
finance,modified_duration,modified duration,declarative,cloze,Modified duration measures,"of the P300 event-related potential.
The P300 event-related potential (ERP) is a well-known measure of cognitive processing. The P300 is typically measured by averaging the ERP over a number of trials. However, averaging the ERP over a number of trials can lead to a loss of information. In this paper, we propose a modified duration measure of the P300. The modified duration measure is based on the idea that the P300 is a transient response that",100,pythia-12b
finance,interest_swap,interest swap,declarative,cloze,An interest swap is,"a financial instrument that is used to hedge against interest rate risk. An interest swap is a contract between two parties, the “buyer” and the “seller”, where the buyer pays a fixed rate of interest to the seller and the seller pays a floating rate of interest to the buyer. The buyer and seller agree to exchange the floating rate of interest for the fixed rate of interest. The buyer and seller agree to exchange the floating rate of interest for the fixed rate of interest. The buyer and",100,pythia-12b
