prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,5.2506,3.4505,7.9502,2.3852,gpt2
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,5.4025,7.0062,7.0106,1.0956,gpt2
decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,5.8965,4.4569,7.9502,4.4569,gpt2
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,4.0548,1.4314,8.5531,0.1754,gpt2
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,5.3817,5.8345,7.0106,2.6791,gpt2
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,5.0708,3.9396,7.9502,1.8279,gpt2
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,5,5.2263,2.8549,7.0106,2.8549,gpt2
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,5.1011,4.3142,7.0106,2.7579,gpt2
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,5,5.4012,4.0066,7.4756,3.0199,gpt2
decl_captions_001,captions,declarative,cloze,Captions are used for,6,5.0109,7.3461,7.3461,1.8584,gpt2
eval_alt_text_001,alt text,evaluative,code_review,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,22,2.9869,3.8497,8.5531,0.0139,gpt2
eval_div_onclick_001,semantic HTML,evaluative,code_review,A <div> with onclick is not accessible because,12,5.4845,3.4755,7.9502,1.8461,gpt2
eval_empty_link_001,empty link,evaluative,code_review,The accessibility problem with <a href='#'></a> is,15,3.9478,4.4599,8.5531,0.013,gpt2
eval_unlabeled_input_001,form label,evaluative,code_review,<input type='text'> needs a,9,3.7948,6.8905,7.0106,0.0717,gpt2
eval_click_here_001,link text,evaluative,code_review,A button that only says 'Click here' is bad because,13,4.9434,2.945,7.9502,1.907,gpt2
comp_alt_text_few_shot_001,alt text,completion,few_shot,"<img src=""icons/home.png"" alt=""Home""><img src=""icons/mail.png"" alt=""Inbox""><img src=""photo.jpg""",36,1.6786,0.1057,7.43,0.006,gpt2
comp_alt_text_bare_001,alt text,completion,bare,"<img src=""photo.jpg""",9,2.7311,0.2412,7.0106,0.2412,gpt2
comp_captions_few_shot_001,captions,completion,few_shot,"<video src=""intro.mp4""><track kind=""captions"" src=""intro.vtt""></video><video src=""demo.mp4""><track kind=""captions"" src=""demo.vtt""></video><video src=""lecture.mp4"">",61,1.7972,6.9662,7.0106,0.0063,gpt2
comp_captions_bare_001,captions,completion,bare,"<video src=""lecture.mp4"">",11,3.5946,5.8733,7.0106,0.6514,gpt2
comp_page_title_few_shot_001,page title,completion,few_shot,<html><head><title>About Us</title></head><html><head><title>Contact</title></head><html><head>,31,1.7084,6.6878,7.4282,0.0071,gpt2
