layer,head,domain,compound,score
30,29,a11y,screen reader,0.0022
27,24,a11y,screen reader,0.103
10,16,a11y,screen reader,0.0648
29,7,a11y,screen reader,0.9019
10,14,a11y,screen reader,0.2828
28,15,a11y,screen reader,0.2576
30,29,a11y,alt text,0.3588
27,24,a11y,alt text,0.0165
10,16,a11y,alt text,0.0195
29,7,a11y,alt text,0.0029
10,14,a11y,alt text,0.6327
28,15,a11y,alt text,0.6203
30,29,a11y,skip link,0.9792
27,24,a11y,skip link,0.0028
10,16,a11y,skip link,0.46
29,7,a11y,skip link,0.0725
10,14,a11y,skip link,0.3505
28,15,a11y,skip link,0.2708
30,29,a11y,focus indicator,0.0023
27,24,a11y,focus indicator,0.0231
10,16,a11y,focus indicator,0.9823
29,7,a11y,focus indicator,0.0028
10,14,a11y,focus indicator,0.2934
28,15,a11y,focus indicator,0.0737
30,29,a11y,color contrast,0.6699
27,24,a11y,color contrast,0.1423
10,16,a11y,color contrast,0.1286
29,7,a11y,color contrast,0.008
10,14,a11y,color contrast,0.6252
28,15,a11y,color contrast,0.0767
30,29,finance,stock market,0.0371
27,24,finance,stock market,0.6275
10,16,finance,stock market,0.0833
29,7,finance,stock market,0.0301
10,14,finance,stock market,0.0548
28,15,finance,stock market,0.8436
30,29,finance,credit score,0.1002
27,24,finance,credit score,0.0036
10,16,finance,credit score,0.11
29,7,finance,credit score,0.0112
10,14,finance,credit score,0.1746
28,15,finance,credit score,0.2075
30,29,finance,hedge fund,0.002
27,24,finance,hedge fund,0.0179
10,16,finance,hedge fund,0.0273
29,7,finance,hedge fund,0.0209
10,14,finance,hedge fund,0.1181
28,15,finance,hedge fund,0.9372
30,29,legal,court order,0.1138
27,24,legal,court order,0.0151
10,16,legal,court order,0.0146
29,7,legal,court order,0.0008
10,14,legal,court order,0.709
28,15,legal,court order,0.0074
30,29,legal,case law,0.0405
27,24,legal,case law,0.016
10,16,legal,case law,0.0202
29,7,legal,case law,0.0465
10,14,legal,case law,0.0867
28,15,legal,case law,0.0417
30,29,legal,due process,0.0056
27,24,legal,due process,0.0055
10,16,legal,due process,0.0245
29,7,legal,due process,0.0057
10,14,legal,due process,0.0817
28,15,legal,due process,0.3822
30,29,medical,blood pressure,0.0109
27,24,medical,blood pressure,0.0009
10,16,medical,blood pressure,0.0065
29,7,medical,blood pressure,0.0011
10,14,medical,blood pressure,0.1113
28,15,medical,blood pressure,0.0451
30,29,medical,heart rate,0.0009
27,24,medical,heart rate,0.0021
10,16,medical,heart rate,0.0567
29,7,medical,heart rate,0.0058
10,14,medical,heart rate,0.4274
28,15,medical,heart rate,0.2525
30,29,medical,side effect,0.0
27,24,medical,side effect,0.0026
10,16,medical,side effect,0.0065
29,7,medical,side effect,0.0479
10,14,medical,side effect,0.0324
28,15,medical,side effect,0.0511
30,29,general,bicycle wheel,0.7814
27,24,general,bicycle wheel,0.1623
10,16,general,bicycle wheel,0.1265
29,7,general,bicycle wheel,0.0178
10,14,general,bicycle wheel,0.3818
28,15,general,bicycle wheel,0.0695
30,29,general,coffee table,0.2328
27,24,general,coffee table,0.0303
10,16,general,coffee table,0.0767
29,7,general,coffee table,0.2104
10,14,general,coffee table,0.2598
28,15,general,coffee table,0.3484
30,29,general,phone call,0.0065
27,24,general,phone call,0.0136
10,16,general,phone call,0.003
29,7,general,phone call,0.0029
10,14,general,phone call,0.0685
28,15,general,phone call,0.0857
