compound,model,condition,selected_heads,control_heads,selected_kl,control_kl,selected_minus_control_kl,selected_top_changed,control_top_changed,bigram_count,log_frequency
keyboard_navigation,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",5.2e-05,1e-06,5.1e-05,False,False,8050,8.993551586299981
focus_indicator,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",6e-06,3e-06,3e-06,False,False,1261,7.140453043101158
section_heading,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",3.7e-05,6e-06,3.0999999999999995e-05,False,False,6949,8.846496938558838
text_alternative,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",3.9e-05,-1e-06,3.9999999999999996e-05,False,False,1852,7.52456122628536
sensory_characteristics,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",5.1e-05,3e-06,4.8e-05,False,False,11206,9.324293862052029
target_size,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",9e-05,2e-06,8.800000000000001e-05,False,False,21981,9.997979215628845
drag_movement,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",6e-06,2e-06,4.000000000000001e-06,False,False,328,5.796057750765372
focus_appearance,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",5.8e-05,3e-06,5.5e-05,False,False,102,4.634728988229636
consistent_help,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",8.4e-05,7e-06,7.7e-05,False,False,504,6.22455842927536
redundant_entry,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",4.5e-05,2e-06,4.3e-05,False,False,205,5.327876168789581
accessible_authentication,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",1.6e-05,1e-06,1.4999999999999999e-05,False,False,3,1.3862943611198906
error_identification,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",4.9e-05,2.8e-05,2.1e-05,False,False,1566,7.356918242356021
character_key,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",8e-06,2e-06,6e-06,False,False,1974,7.5883236773352225
