suite,compound,trajectory,stable
pythia,ARIA,never_emerges,True
pythia,WCAG,monotonic_climb,False
pythia,accelerated_depreciation,never_emerges,True
pythia,accessibility_tree,never_emerges,False
pythia,accessible_authentication,mixed,False
pythia,accessible_description,never_emerges,False
pythia,accessible_name,peak_regress,False
pythia,adequate_consideration,never_emerges,True
pythia,alarm_clock,never_emerges,True
pythia,alt_text,monotonic_climb,False
pythia,antibiotic_resistance,never_emerges,True
pythia,apple_pie,never_emerges,True
pythia,arbitration_clause,never_emerges,True
pythia,articles_incorporation,never_emerges,True
pythia,asset_allocation,never_emerges,True
pythia,audio_description,mixed,False
pythia,bacterial_infection,never_emerges,True
pythia,baked_beans,never_emerges,True
pythia,balance_sheet,never_emerges,True
pythia,bath_towels,never_emerges,True
pythia,bear_market,never_emerges,True
pythia,bench_trial,never_emerges,True
pythia,binding_precedent,never_emerges,True
pythia,birth_defect,never_emerges,True
pythia,blood_clot,never_emerges,True
pythia,blood_pressure,never_emerges,True
pythia,blue_sky,never_emerges,True
pythia,body_temperature,never_emerges,True
pythia,bond_coupon,never_emerges,True
pythia,bone_marrow,never_emerges,True
pythia,bowel_resection,never_emerges,True
pythia,brain_stem,never_emerges,True
pythia,breast_cancer,never_emerges,True
pythia,bull_market,never_emerges,True
pythia,call_option,never_emerges,True
pythia,capital_structure,never_emerges,True
pythia,car_keys,never_emerges,True
pythia,cash_flow,never_emerges,True
pythia,central_clearing,never_emerges,True
pythia,cerebral_cortex,never_emerges,True
pythia,character_key,never_emerges,True
pythia,chest_pain,never_emerges,True
pythia,chronic_pain,never_emerges,True
pythia,civil_lawsuit,never_emerges,True
pythia,class_action,never_emerges,True
pythia,clinical_trial,never_emerges,True
pythia,closed_captions,peak_regress,False
pythia,coffee_shop,never_emerges,True
pythia,cognitive_disabilities,mixed,False
pythia,cold_water,never_emerges,True
pythia,collar_bone,never_emerges,True
pythia,color_contrast,mixed,False
pythia,combo_box,peak_regress,False
pythia,commerce_clause,never_emerges,True
pythia,commodity_futures,never_emerges,True
pythia,complete_remission,never_emerges,True
pythia,conditional_parole,never_emerges,True
pythia,consistent_help,never_emerges,False
pythia,coral_reef,never_emerges,True
pythia,court_order,never_emerges,True
pythia,credit_default,never_emerges,True
pythia,credit_rating,never_emerges,True
pythia,credit_spread,never_emerges,True
pythia,criminal_record,never_emerges,True
pythia,currency_hedge,never_emerges,True
pythia,data_base,never_emerges,True
pythia,debt_covenant,never_emerges,True
pythia,decorative_image,mixed,False
pythia,dental_appointment,never_emerges,True
pythia,diluted_earnings,never_emerges,True
pythia,dining_table,never_emerges,True
pythia,double_jeopardy,never_emerges,True
pythia,drag_movement,never_emerges,False
pythia,drug_interaction,never_emerges,True
pythia,due_diligence,never_emerges,True
pythia,due_process,never_emerges,True
pythia,electronic_discovery,never_emerges,True
pythia,equal_protection,never_emerges,True
pythia,error_identification,never_emerges,True
pythia,excessive_bail,never_emerges,True
pythia,expert_witness,never_emerges,True
pythia,felony_conviction,never_emerges,True
pythia,fifth_amendment,never_emerges,True
pythia,financial_leverage,never_emerges,True
pythia,fire_station,never_emerges,True
pythia,fiscal_policy,never_emerges,True
pythia,fluid_retention,never_emerges,True
pythia,focus_appearance,never_emerges,False
pythia,focus_indicator,never_emerges,False
pythia,focus_management,mixed,False
pythia,form_field,monotonic_climb,False
pythia,free_speech,never_emerges,True
