domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
accessibility,decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a device that allows a user to view a screen.

A screen reader is a device that allows a user to view a screen.

A screen reader is a device that allows a user to view a screen.

A screen reader is a device that allows a user to view a screen.

A screen reader is a device that allows a user to view a screen.

A screen reader is a device that allows a user to view a screen.

A screen",100,pythia-160m
accessibility,decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,"the International Commission on Geographic Names (ICCGN) and the World Geographic Names (WGSN) as the governing bodies for the use of geographic information systems (GIS) in the public domain.

The WGSN is the world's largest geographic information system. It is the world's largest geographic information system (GIS) and the world's largest geographic information system (GIS) by volume. The WGSN is the world's largest geographic information system.

The W",100,pythia-160m
accessibility,decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link to a page that is not a link.

A skip link is a link to a page that is not a link.

A skip link is a link to a page that is not a link.

A skip link is a link to a page that is not a link.

A skip link is a link to a page that is not a link.

A skip link is a link to a page that is not a link.

A skip",100,pythia-160m
accessibility,decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,"to provide a means for the user to communicate with a computer system.
The purpose of the present invention is to provide a method and apparatus for the user to communicate with a computer system.
The present invention relates to a method and apparatus for the user to communicate with a computer system.
The present invention relates to a method and apparatus for the user to communicate with a computer system.
The present invention relates to a method and apparatus for the user to communicate with a computer system.
The",100,pythia-160m
accessibility,decl_aria_001,ARIA,declarative,cloze,ARIA stands for,"the first time in the history of the country, and the first time in the history of the world.

The first time in the history of the world that the country stood for the first time in the history of the world, was in the early days of the 20th century.

The first time in the history of the world that the country stood for the first time in the history of the world, was in the early days of the 20th century.

The first time",100,pythia-160m
accessibility,decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,"a set of indicators that can be used to measure the quality of a product or service.

A focus indicator is a set of indicators that can be used to measure the quality of a product or service.

A focus indicator is a set of indicators that can be used to measure the quality of a product or service.

A focus indicator is a set of indicators that can be used to measure the quality of a product or service.

A focus indicator is a set of indicators",100,pythia-160m
accessibility,decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to navigate through the world with ease.

Keyboard navigation allows you to navigate through the world with ease.

Keyboard navigation allows you to navigate through the world with ease.

Keyboard navigation allows you to navigate through the world with ease.

Keyboard navigation allows you to navigate through the world with ease.

Keyboard navigation allows you to navigate through the world with ease.

Keyboard navigation allows you to navigate through the world with ease.",100,pythia-160m
accessibility,decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,"it is the most important factor in determining the color of a color image.

Color contrast is important because it is the most important factor in determining the color of a color image.

Color contrast is important because it is the most important factor in determining the color of a color image.

Color contrast is important because it is the most important factor in determining the color of a color image.

Color contrast is important because it is the most important factor in determining the color of a",100,pythia-160m
accessibility,decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,"you understand the content of your website.

The HTML5 specification is a set of rules that help you understand the content of your website.

The HTML5 specification is a set of rules that help you understand the content of your website.

The HTML5 specification is a set of rules that help you understand the content of your website.

The HTML5 specification is a set of rules that help you understand the content of your website.

The HTML5 specification is a",100,pythia-160m
accessibility,decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,"the purpose of displaying information, such as the name of the person being displayed, and the location of the display.

The following is a list of closed captions for the purpose of displaying information, such as the name of the person being displayed, and the location of the display.

The following is a list of closed captions for the purpose of displaying information, such as the name of the person being displayed, and the location of the display.

The following is a list",100,pythia-160m
